"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Description","Total Cases","Performance Category","Rate","Interval Lower Limit","Interval Upper Limit","Footnote","Start Date","End Date"
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,2174,Worse than the National Rate,15.9,13.5,18.6,,07/01/2022,06/30/2023
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,2174,No Different than the National Rate,5.2,4.2,6.7,,07/01/2022,06/30/2023
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1682,No Different than the National Rate,19.6,17.8,21.3,,10/01/2021,09/30/2022
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,44,Not Applicable,44.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1261,No Different than the National Rate,12.2,10.1,14.6,,07/01/2022,06/30/2023
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1261,Better than the National Rate,3.6,2.6,4.7,,07/01/2022,06/30/2023
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,233,No Different than the National Rate,18.6,14.0,23.2,,10/01/2021,09/30/2022
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2022
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1446,No Different than the National Rate,11.7,9.9,13.9,,07/01/2022,06/30/2023
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1446,No Different than the National Rate,5.5,4.4,7.0,,07/01/2022,06/30/2023
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1057,No Different than the National Rate,21.9,19.4,24.4,,10/01/2021,09/30/2022
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-37,Surgical treatment complications for localized prostate cancer,37,Not Applicable,48.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,3202,No Different than the National Rate,13.0,11.1,15.1,,07/01/2022,06/30/2023
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,3202,No Different than the National Rate,4.8,3.9,6.0,,07/01/2022,06/30/2023
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-36,30-Day Unplanned Readmission for Cancer Patients,2139,No Different than the National Rate,21.5,19.8,23.2,,10/01/2021,09/30/2022
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2022
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,4565,No Different than the National Rate,15.2,12.9,17.5,,07/01/2022,06/30/2023
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,4565,No Different than the National Rate,6.2,5.0,7.8,,07/01/2022,06/30/2023
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,356,No Different than the National Rate,21.6,18.0,25.3,,10/01/2021,09/30/2022
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2022
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,8706,No Different than the National Rate,14.4,12.8,16.8,,07/01/2022,06/30/2023
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,8706,No Different than the National Rate,5.8,4.9,7.2,,07/01/2022,06/30/2023
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,4590,No Different than the National Rate,20.9,19.7,22.0,,10/01/2021,09/30/2022
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-37,Surgical treatment complications for localized prostate cancer,52,Not Applicable,53.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,852,No Different than the National Rate,14.0,11.5,16.7,,07/01/2022,06/30/2023
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,852,No Different than the National Rate,5.0,3.8,6.5,,07/01/2022,06/30/2023
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,712,Better than the National Rate,13.3,10.2,16.4,,10/01/2021,09/30/2022
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2022
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1828,No Different than the National Rate,13.7,11.6,16.1,,07/01/2022,06/30/2023
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1828,Worse than the National Rate,7.0,5.5,9.0,,07/01/2022,06/30/2023
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-36,30-Day Unplanned Readmission for Cancer Patients,2141,Worse than the National Rate,23.0,21.3,24.7,,10/01/2021,09/30/2022
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2022
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,455,No Different than the National Rate,10.4,7.7,13.4,,07/01/2022,06/30/2023
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,455,No Different than the National Rate,4.3,3.0,6.1,,07/01/2022,06/30/2023
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-36,30-Day Unplanned Readmission for Cancer Patients,588,No Different than the National Rate,22.7,19.3,26.2,,10/01/2021,09/30/2022
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-37,Surgical treatment complications for localized prostate cancer,44,Not Applicable,51.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,5700,Worse than the National Rate,15.3,13.5,18.0,,07/01/2022,06/30/2023
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,5700,No Different than the National Rate,6.2,5.1,7.9,,07/01/2022,06/30/2023
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-36,30-Day Unplanned Readmission for Cancer Patients,6385,No Different than the National Rate,20.5,19.6,21.5,,10/01/2021,09/30/2022
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-37,Surgical treatment complications for localized prostate cancer,78,Not Applicable,49.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1881,Better than the National Rate,10.7,9.0,12.8,,07/01/2022,06/30/2023
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1881,No Different than the National Rate,6.6,5.2,8.4,,07/01/2022,06/30/2023
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-36,30-Day Unplanned Readmission for Cancer Patients,103,No Different than the National Rate,27.2,19.4,34.9,,10/01/2021,09/30/2022
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2022
